Designator,Mid X,Mid Y,Rotation,Layer
C1,4.0922,45.4,180.0,top
C13,18.625,9.2,0.0,top
C2,13.408365,44.825,330.0,top
C23,-6.415,0.227,0.0,top
C25,-15.8,11.47,90.0,top
C26,-14.2,-0.72,90.0,top
C27,-14.08,11.0,180.0,top
C28,19.2,-2.6,270.0,top
C29,13.42,-6.0,0.0,top
C3,8.3125,46.12883,60.0,top
C30,-12.8729,47.6122,30.0,top
C31,-1.6,5.52,270.0,top
C32,-3.708,5.52,270.0,top
C33,-5.816,5.52,270.0,top
C34,0.2,22.0,315.0,top
C35,-7.775,8.4,0.0,top
C36,12.92,5.4851,180.0,top
C37,12.92,4.0851,180.0,top
C38,12.92,2.6851,180.0,top
C40,12.92,1.2851,180.0,top
C41,10.72,4.0851,0.0,top
C42,10.72,2.6851,0.0,top
C43,10.72,1.2851,0.0,top
C44,-15.6,14.4,90.0,top
C45,-7.9828,47.5351,0.0,top
C46,-7.9828,45.1351,0.0,top
C47,-6.415,-2.573,180.0,top
C48,-4.255,-1.173,180.0,top
C52,-4.1828,47.5351,0.0,top
C54,-6.4,-5.375,270.0,top
C56,-4.1828,45.1351,0.0,top
C57,-0.3828,45.6,0.0,top
D1,-11.4,-4.0,330.0,top
D2,-4.4328,56.2851,13.0,top
D3,-4.0328,51.6851,90.0,top
D4,9.5672,56.0851,347.0,top
D5,22.2,39.4,270.0,top
D6,2.5672,36.6851,180.0,top
J1,17.967809051224947,51.4251,60.0,top
J2,-20.0328,25.1451,0.0,bottom
J3,15.0672,24.4809,0.0,bottom
L1,-3.775,9.6,180.0,top
L2,18.7,41.0,270.0,top
Q1,-13.9703,42.6351,0.0,top
R10,22.2,9.2,180.0,top
R16,-8.5687,50.0972,210.0,top
R17,-4.0328,54.6851,13.0,top
R19,-16.4,-0.72,270.0,top
R2,0.9672,47.9149,0.0,top
R20,-15.295,-0.72,270.0,top
R21,-6.415,-1.173,0.0,top
R22,-6.87,5.52,90.0,top
R23,-4.762,5.52,90.0,top
R24,-2.654,5.52,90.0,top
R25,-17.8,-0.29,90.0,top
R26,9.4703,54.3998,347.0,top
R28,-15.1505,46.2972,210.0,top
R3,4.4572,47.9149,0.0,top
R31,17.8,-2.6,90.0,top
R32,-17.91,42.0,0.0,top
R33,-17.91,43.4,0.0,top
R9,19.69,-0.8,0.0,top
SW1,-10.0467,52.4771,30.0,top
SW2,-15.416,49.3771,30.0,top
U1,-13.8,4.2,180.0,top
U10,-3.6,-5.3375,270.0,top
U4,18.8922,3.1201,270.0,top
U8,2.3672,24.4759,225.0,top
U9,3.85,-1.2375,270.0,top
USB1,2.5672,52.8026,180.0,top
X1,14.1,-3.2,0.0,top
